#term	term_size	term_size_in_genome	list1_positives	list1_negatives	list1_percentage	list2_positives	list2_negatives	list2_percentage	list1_positive_ids	list2_positive_ids	odds_ratio_log	pvalue	adj_pvalue
GO:0009653	29	1344	17	107	13.71	12	93	11.43	MYO18B,MYH9,MYH6,MYH7,MYO5A,MYO1E,KIF3A,MYH11,MYO6,ACTB,MYO7A,MYO15A,MYH10,ACTG1,OPA1,KIF5C,ACTA1	IER3,BCL2,SPP1,BAK1,IL18,HTATIP2,APAF1,BRCA1,BAX,CASP8,RTN4,BCL10	208077.35296E-6	6.91868E-1	7.45955E-1
GO:0009790	16	619	8	116	6.45	8	97	7.62	MYO18B,MYH9,MYH6,MYO1E,KIF3A,MYO6,MYO15A,MYH10	BCL2L1,DAD1,APAF1,AATF,BRCA1,BIRC5,CASP8,BCL10	-178879.2126E-6	7.98026E-1	8.3065E-1
GO:0009792	12	356	6	118	4.84	6	99	5.71	MYO18B,MYH9,MYH6,MYO1E,KIF3A,MYH10	BCL2L1,DAD1,APAF1,BRCA1,CASP8,BCL10	-175564.77433E-6	7.7557E-1	8.12385E-1
GO:0009887	19	800	9	115	7.26	10	95	9.52	MYO18B,MYH9,MYH6,MYH7,MYO5A,MYO1E,MYO6,MYO7A,MYO15A	BCL2,BAK1,IL18,HTATIP2,APAF1,BRCA1,BAX,CASP8,RTN4,BCL10	-296415.75242E-6	6.32938E-1	7.05395E-1
GO:0009888	15	808	9	115	7.26	6	99	5.71	MYO18B,MYH9,MYH6,MYH7,MYO5A,MYH11,MYH10,ACTG1,ACTA1	BCL2,SPP1,APAF1,BRCA1,CASP8,BCL10	255652.82988E-6	7.90409E-1	8.25317E-1
GO:0030154	29	1855	13	111	10.48	16	89	15.24	MYO18B,MYH9,MYH6,MYO5A,MYO1E,MYH11,MYO6,ACTB,MYO7A,MYH10,ACTG1,KIF5C,ACTA1	MALT1,BCL2,BCL2L1,BNIP3,IL2,SPP1,BAG1,CARD11,BAK1,HTATIP2,BRCA1,BAX,CASP8,RTN4,IL10,MCL1	-428533.19636E-6	3.2173E-1	3.92962E-1
GO:0043009	12	352	6	118	4.84	6	99	5.71	MYO18B,MYH9,MYH6,MYO1E,KIF3A,MYH10	BCL2L1,DAD1,APAF1,BRCA1,CASP8,BCL10	-175564.77433E-6	7.7557E-1	8.12385E-1
GO:0048468	18	921	11	113	8.87	7	98	6.67	MYO18B,MYH9,MYH6,MYH11,MYO6,ACTB,MYO7A,MYH10,ACTG1,KIF5C,ACTA1	BCL2,BCL2L1,SPP1,BAG1,BRCA1,BAX,RTN4	309564.7837E-6	6.26485E-1	7.00562E-1
GO:0048513	35	1976	15	109	12.1	20	85	19.05	MYO18B,MYH9,MYH6,MYH7,MYO5A,MYO1E,KIF3A,MYH11,MYO6,MYO7A,MYO15A,MYH10,MYH3,ACTG1,ACTA1	MALT1,BCL2,BIK,BCL2L1,BCL2L2,IL2,SPP1,CARD11,BAK1,IL18,HTATIP2,BIRC2,APAF1,BRCA1,SPHK2,BAX,CASP8,RTN4,IL10,BCL10	-536378.69819E-6	1.96591E-1	2.55183E-1
GO:0048514	10	253	3	121	2.42	7	98	6.67	MYO18B,MYH9,MYO1E	BAK1,IL18,HTATIP2,BRCA1,BAX,CASP8,RTN4	-1.0581209273E0	1.92643E-1	2.51043E-1
GO:0048738	6	67	5	119	4.03	1	104	0.95	MYO18B,MYH6,MYH7,MYH11,MYH10	BRCA1	1.4747053185E0	2.22341E-1	2.8415E-1
GO:0048747	7	89	5	119	4.03	2	103	1.9	MYO18B,MYH9,MYH6,MYH11,ACTA1	BCL2,BRCA1	771896.22699E-6	4.57401E-1	5.25693E-1
GO:0048856	43	2795	19	105	15.32	24	81	22.86	MYO18B,MYH9,MYH6,MYH7,MYO5A,MYO1E,KIF3A,MYH11,MYO6,ACTB,MYO7A,MYO15A,MYH10,MYH3,ACTG1,OPA1,DCTN1,KIF5C,ACTA1	IER3,MALT1,BCL2,BIK,BCL2L1,BCL2L2,DAD1,IL2,SPP1,BAG1,CARD11,BAK1,IL18,HTATIP2,BIRC2,APAF1,FAIM2,BRCA1,SPHK2,BAX,CASP8,RTN4,IL10,BCL10	-493126.04667E-6	1.74931E-1	2.41072E-1
GO:0000226	8	165	6	118	4.84	2	103	1.9	MYH9,KIF23,CENPE,KIF11,DCTN2,KIF2C	BRCA1,BIRC5	962656.65243E-6	2.94167E-1	3.63318E-1
GO:0000279	12	394	10	114	8.06	2	103	1.9	MYH9,KIF23,CENPE,KIF22,KIF11,KIFC1,KIF25,DCTN2,DCTN1,KIF2C	BRCA1,BIRC5	1.5079684523E0	4.12907E-2	6.93768E-2
GO:0000902	9	435	5	119	4.03	4	101	3.81	MYH9,KIF3A,ACTB,MYH10,KIF5C	BCL2,SPP1,BRCA1,RTN4	59140.575044E-6	1E0	1E0
GO:0000904	8	305	4	120	3.23	4	101	3.81	MYH9,ACTB,MYH10,KIF5C	BCL2,SPP1,BRCA1,RTN4	-172371.22594E-6	1E0	1E0
GO:0001525	6	189	1	123	0.81	5	100	4.76	MYH9	IL18,HTATIP2,BRCA1,CASP8,RTN4	-1.8164520818E0	9.62575E-2	1.38527E-1
GO:0001775	14	425	3	121	2.42	11	94	10.48	MYH9,KIF13B,MYO1F	MALT1,BCL2,RIPK2,IL2,CARD11,BAK1,IL18,BRCA1,BAX,IL10,BCL10	-1.5517787475E0	1.3124E-2	3.29093E-2
GO:0002520	11	398	2	122	1.61	9	96	8.57	MYH9,MYO1E	MALT1,BCL2,IL2,CARD11,BAK1,BRCA1,BAX,CASP8,IL10	-1.74375025E0	2.556E-2	4.45281E-2
GO:0006508	24	1233	9	115	7.26	15	90	14.29	MYH9,MYH7B,KIF26A,MYO5A,DNAH5,DNAH11,DNAH8,DNAH17,DNAH12	MALT1,CASP4,CASP5,CASP1,TNFAIP3,CASP2,CRADD,BRCA1,CBX4,CASP8,CASP10,CFLAR,BIRC6,CASP9,IL10	-755948.0818E-6	1.28268E-1	1.79971E-1
GO:0006928	21	666	16	108	12.9	5	100	4.76	MYH9,DNAH3,DNAH5,DNAH11,DNAH8,ACTB,DNAH9,MYO1F,MYH10,DNAH2,DNAH17,ACTG1,DNAH1,DNAH7,KIF5C,DNALI1	BCL2,BRCA1,BAX,RTN4,IL10	1.0861897687E0	3.91607E-2	6.71616E-2
GO:0006996	40	1571	23	101	18.55	17	88	16.19	MYH9,MYH6,KIF4A,KIF23,CENPE,KIF3A,MYH11,KIF22,KIF11,KIFC3,KIFC1,MYO7A,KIF25,DCTN2,MYO9B,MYO1F,MYH10,ACTG1,OPA1,DCTN1,KIF5C,ACTA1,KIF2C	BCL2,CIDEA,BID,BCL2L1,BIRC7,BNIP3,BNIP1,HDAC3,BAK1,APAF1,BRCA1,BAX,BIRC5,CBX4,HDAC1,DFFA,DFFB	164497.16951E-6	7.27757E-1	7.81392E-1
GO:0007010	16	517	13	111	10.48	3	102	2.86	MYH9,MYH6,KIF23,CENPE,MYH11,KIF11,DCTN2,MYO9B,MYO1F,MYH10,ACTG1,ACTA1,KIF2C	BCL2,BRCA1,BIRC5	1.3817796808E0	3.49968E-2	6.06489E-2
GO:0007049	19	954	12	112	9.68	7	98	6.67	MYH9,KIF23,CENPE,KIF22,KIF11,KIFC1,KIF25,DCTN2,DNM2,MYH10,DCTN1,KIF2C	BCL2,HDAC3,BAK1,AATF,BRCA1,BAX,BIRC5	405465.10811E-6	4.76728E-1	5.44128E-1
GO:0007051	5	50	4	120	3.23	1	104	0.95	MYH9,KIF23,KIF11,DCTN2	BRCA1	1.2431935175E0	3.78208E-1	4.50313E-1
GO:0007154	53	4909	21	103	16.94	32	73	30.48	MYH9,MYH7B,KIF13B,MYO9A,MYO5A,MYO1E,CENPE,KIF3A,MYO10,DNAH11,MYO6,MYO1G,KIF5A,DNM2,MYO9B,MYH10,TIAF1,DNAH17,OPA1,DNAH12,KIF1B	MALT1,CIDEA,CARD10,TNFRSF6B,BIRC7,RIPK2,TNFRSF10A,CIDEB,TNFRSF10B,IL2,BAG1,CARD9,PRKAA1,CARD11,CASP1,IL18,TNFAIP3,FADD,BIRC2,BIRC3,CRADD,HRK,BRCA1,SPHK2,CARD14,CASP8,CFLAR,IL10,BCL10,DFFA,DFFB,TNFRSF25	-765483.01216E-6	1.84291E-2	3.63651E-2
GO:0007155	10	953	2	122	1.61	8	97	7.62	MYH9,MYO1F	SON,BCL2,IL2,SPP1,IL18,AATF,BRCA1,RTN4	-1.6156044273E0	4.66891E-2	7.72704E-2
GO:0007165	49	4522	19	105	15.32	30	75	28.57	MYH9,MYH7B,KIF13B,MYO9A,MYO5A,MYO1E,CENPE,KIF3A,MYO10,DNAH11,MYO6,MYO1G,DNM2,MYO9B,MYH10,TIAF1,DNAH17,OPA1,DNAH12	MALT1,CIDEA,CARD10,TNFRSF6B,BIRC7,RIPK2,TNFRSF10A,CIDEB,TNFRSF10B,IL2,BAG1,CARD9,PRKAA1,CARD11,CASP1,TNFAIP3,FADD,BIRC2,BIRC3,CRADD,BRCA1,SPHK2,CARD14,CASP8,CFLAR,IL10,BCL10,DFFA,DFFB,TNFRSF25	-793230.63912E-6	1.60393E-2	3.63651E-2
GO:0007166	17	2525	5	119	4.03	12	93	11.43	MYH9,KIF13B,MYO1E,KIF3A,MYO1G	MALT1,CIDEA,RIPK2,TNFRSF10B,IL2,BAG1,BIRC2,BIRC3,BRCA1,SPHK2,BCL10,TNFRSF25	-1.1219927373E0	4.27762E-2	7.15098E-2
GO:0007610	8	550	4	120	3.23	4	101	3.81	MYH9,MYO5A,MYO6,MYO15A	BCL2,IL18,BRCA1,IL10	-172371.22594E-6	1E0	1E0
GO:0007626	6	343	4	120	3.23	2	103	1.9	MYH9,MYO5A,MYO6,MYO15A	BRCA1,IL10	540384.42601E-6	6.89943E-1	7.45955E-1
GO:0009056	36	1941	14	110	11.29	22	83	20.95	MYH9,MYH7B,MYH6,MYH7,KIF26A,MYO5A,DNAH5,DNAH11,DNAH8,ACTB,MYO9B,DNAH17,DNAH12,ACTA1	MALT1,CIDEA,BIRC7,BNIP3,CASP4,CASP5,CASP1,TNFAIP3,CASP2,APAF1,CRADD,BRCA1,BAX,CBX4,CASP8,CASP10,CFLAR,BIRC6,CASP9,IL10,DFFA,DFFB	-733624.88174E-6	6.74077E-2	1.04262E-1
GO:0009605	13	1253	4	120	3.23	9	96	8.57	MYH9,MYH2,MYH10,ACTA1	BCL2,RIPK2,DAD1,IL2,SPP1,HRK,BRCA1,BAX,IL10	-1.0340737675E0	9.31096E-2	1.38527E-1
GO:0016477	8	405	3	121	2.42	5	100	4.76	MYH9,MYO1F,MYH10	BCL2,BRCA1,BAX,RTN4,IL10	-701445.98337E-6	4.74827E-1	5.43833E-1
GO:0019538	46	3576	14	110	11.29	32	73	30.48	MYH9,MYH7B,KIF26A,MYO5A,CENPE,DNAH5,MYO3A,DNAH11,DNAH8,DNAH17,DNAH12,MYO3B,DNAH7,KIF3C	MALT1,BCL2,BIRC7,RIPK2,BAG4,BAG5,DAD1,IL2,PRKAA1,HDAC3,BAG3,BAG2,BAK1,CASP4,CASP5,CASP1,TNFAIP3,CASP2,CRADD,AATF,BRCA1,BAX,CBX4,CARD14,CASP8,CASP10,CFLAR,BIRC6,CASP9,IL10,BCL10,HDAC1	-1.2366994978E0	4.32965E-4	3.1847E-3
GO:0022402	15	649	12	112	9.68	3	102	2.86	MYH9,KIF23,CENPE,KIF22,KIF11,KIFC1,KIF25,DCTN2,DNM2,MYH10,DCTN1,KIF2C	BCL2,BRCA1,BIRC5	1.2927683031E0	5.78612E-2	9.12002E-2
GO:0030029	18	299	16	108	12.9	2	103	1.9	MYH9,MYH6,MYH7,MYO5A,MYO1E,MYH11,MYO6,MYO7A,MYH4,MYH2,MYO9B,MYO1F,MYH10,MYH3,ACTG1,ACTA1	BCL2,BRCA1	2.0320393028E0	2.26145E-3	1.03964E-2
GO:0030030	14	450	10	114	8.06	4	101	3.81	MYH9,DNAI1,KIF3A,MYO6,ACTB,MYO1A,DNAH9,DNAI2,MYH10,KIF5C	BCL2,SPP1,BRCA1,RTN4	795212.80032E-6	2.68637E-1	3.35543E-1
GO:0030036	10	283	8	116	6.45	2	103	1.9	MYH9,MYH6,MYH11,MYO9B,MYO1F,MYH10,ACTG1,ACTA1	BCL2,BRCA1	1.2674331582E0	1.13816E-1	1.63087E-1
GO:0030048	12	26	12	112	9.68	0	105	0	MYH9,MYH6,MYH7,MYO5A,MYO1E,MYO6,MYO7A,MYH4,MYH2,MYO9B,MYH10,MYH3		17976.931349E300	5.51958E-4	3.80621E-3
GO:0030097	11	348	2	122	1.61	9	96	8.57	MYH9,MYO1E	MALT1,BCL2,IL2,CARD11,BAK1,BRCA1,BAX,CASP8,IL10	-1.74375025E0	2.556E-2	4.45281E-2
GO:0030163	24	1257	9	115	7.26	15	90	14.29	MYH9,MYH7B,KIF26A,MYO5A,DNAH5,DNAH11,DNAH8,DNAH17,DNAH12	MALT1,CASP4,CASP5,CASP1,TNFAIP3,CASP2,CRADD,BRCA1,CBX4,CASP8,CASP10,CFLAR,BIRC6,CASP9,IL10	-755948.0818E-6	1.28268E-1	1.79971E-1
GO:0030705	18	53	17	107	13.71	1	104	0.95	MYH9,KIF3B,MYH6,MYH7,MYO5A,MYO1E,KIF4A,KIF5B,MYO6,MYO7A,MYH4,MYH2,MYO9B,MYH10,MYH3,OPA1,KIF1B	BRCA1	2.8047754087E0	2.72462E-4	2.37329E-3
GO:0042110	12	217	2	122	1.61	10	95	9.52	MYH9,KIF13B	MALT1,BCL2,RIPK2,IL2,CARD11,IL18,BRCA1,BAX,IL10,BCL10	-1.8595820656E0	1.37813E-2	3.35412E-2
GO:0042221	25	1461	4	120	3.23	21	84	20	MYH9,MYH7,ACTG1,ACTA1	MALT1,BCL2,BCL2L1,RIPK2,DAD1,BNIP3,SPP1,CARD9,PRKAA1,HDAC3,NOL3,BAK1,CASP1,IL18,BIRC2,BRCA1,BAX,CASP8,IL10,MCL1,BCL10	-2.0149030205E0	6.38816E-5	7.29132E-4
GO:0042692	7	111	6	118	4.84	1	104	0.95	MYH9,MYH6,MYH11,MYH10,ACTG1,ACTA1	BRCA1	1.6654657439E0	1.28317E-1	1.79971E-1
GO:0044237	59	8325	19	105	15.32	40	65	38.1	MYH9,MYH6,MYH7,MYO5A,CENPE,MYH11,MYO3A,KIF22,MYO6,ACTB,DNM2,MYO9B,OPA1,DNAH12,MYO3B,DNAH7,KIF3C,DNAH14,ACTA1	MALT1,BCL2,CIDEA,CARD10,BIRC7,RIPK2,TNFRSF10A,BAG4,BAG5,TNFRSF10B,DAD1,BNIP3,IL2,CARD9,PRKAA1,HDAC3,NOL3,BAG3,BAG2,CARD11,BAK1,IL18,TNFAIP3,HTATIP2,APAF1,AATF,BRCA1,SPHK2,BAX,CBX4,CARD14,NME6,CASP8,BIRC6,IL10,BCL10,DEDD,HDAC1,DFFA,DFFB	-1.2240135552E0	1.27162E-4	1.31533E-3
GO:0044257	10	655	3	121	2.42	7	98	6.67	MYH9,MYO5A,DNAH12	MALT1,TNFAIP3,BRCA1,CBX4,CASP8,BIRC6,IL10	-1.0581209273E0	1.92643E-1	2.51043E-1
GO:0044265	19	880	5	119	4.03	14	91	13.33	MYH9,MYO5A,ACTB,DNAH12,ACTA1	MALT1,CIDEA,BIRC7,BNIP3,TNFAIP3,APAF1,BRCA1,BAX,CBX4,CASP8,BIRC6,IL10,DFFA,DFFB	-1.2978834038E0	1.49914E-2	3.62201E-2
GO:0044267	32	2976	8	116	6.45	24	81	22.86	MYH9,MYO5A,CENPE,MYO3A,DNAH12,MYO3B,DNAH7,KIF3C	MALT1,BCL2,BIRC7,RIPK2,BAG4,BAG5,DAD1,IL2,PRKAA1,HDAC3,BAG3,BAG2,BAK1,TNFAIP3,AATF,BRCA1,BAX,CBX4,CARD14,CASP8,BIRC6,IL10,BCL10,HDAC1	-1.4577533251E0	4.57446E-4	3.29162E-3
GO:0045321	14	366	3	121	2.42	11	94	10.48	MYH9,KIF13B,MYO1F	MALT1,BCL2,RIPK2,IL2,CARD11,BAK1,IL18,BRCA1,BAX,IL10,BCL10	-1.5517787475E0	1.3124E-2	3.29093E-2
GO:0046649	13	314	2	122	1.61	11	94	10.48	MYH9,KIF13B	MALT1,BCL2,RIPK2,IL2,CARD11,BAK1,IL18,BRCA1,BAX,IL10,BCL10	-1.9654743547E0	7.33468E-3	2.34795E-2
GO:0046907	33	902	23	101	18.55	10	95	9.52	MYH9,KIF3B,MYH6,MYH7,KIF13B,MYO5A,MYO1E,KIF4A,CENPE,KIF5B,MYO6,MYO7A,KIF1C,MYH4,MYH2,APPBP2,MYO9B,MYO1C,MYH10,MYH3,OPA1,DNAH7,KIF1B	MALT1,BCL2,BID,BCL2L1,BNIP3,BAK1,HTATIP2,BRCA1,BAX,IL10	771665.49769E-6	6.01916E-2	9.44238E-2
GO:0048646	13	390	6	118	4.84	7	98	6.67	MYH9,MYH6,MYH11,MYH10,ACTG1,ACTA1	IL18,HTATIP2,APAF1,BRCA1,CASP8,RTN4,BCL10	-339867.82562E-6	5.79281E-1	6.52183E-1
GO:0048870	16	484	11	113	8.87	5	100	4.76	MYH9,DNAH3,DNAH5,DNAH11,DNAH8,MYO1F,MYH10,DNAH2,DNAH17,DNAH1,DNAH7	BCL2,BRCA1,BAX,RTN4,IL10	666239.72764E-6	3.00369E-1	3.69599E-1
GO:0050793	54	1005	5	119	4.03	49	56	46.67	MYH9,CENPE,MYH10,TIAF1,OPA1	SON,IER3,MALT1,BCL2,CIDEA,TNFRSF6B,BCL2L1,BIRC7,BCL2L2,BAG4,DAD1,BNIP3,BCL2L10,AVEN,IL2,BCL2A1,BNIP2,SPP1,BAG1,PRKAA1,BNIP1,HDAC3,BFAR,NOL3,BAG3,CARD11,TNFAIP3,HTATIP2,BIRC3,API5,HRK,FAIM2,AATF,BIRC8,BRCA1,SPHK2,BAX,BIRC5,CBX4,NME6,CFLAR,RTN4,BIRC6,IL10,PEA15,MCL1,BCL10,HDAC1,DFFA	-3.0361541881E0	4.88044E-15	1.46857E-13
GO:0050794	100	7947	22	102	17.74	78	27	74.29	MYH9,MYH7B,KIF13B,MYO9A,MYO5A,MYO1E,CENPE,KIF3A,MYH11,MYO10,DNAH11,MYO6,MYO1G,DNM2,MYO9B,MYO1F,MYH10,TIAF1,DNAH17,OPA1,DNAH12,DNAH7	SON,IER3,MALT1,BCL2,CIDEA,BIK,CARD10,BID,BCL2L13,TNFRSF6B,BCL2L1,BIRC7,RIPK2,BCL2L2,EBAG9,TNFRSF10A,BAG4,CIDEB,TNFRSF10B,DAD1,BNIP3,BCL2L10,AVEN,IL2,BCL2A1,BNIP2,SPP1,BAG1,CARD9,CARD6,PRKAA1,BNIP1,HDAC3,BFAR,NOL3,BAG3,CARD11,BAK1,CASP4,CASP5,CASP1,IL18,TNFAIP3,CASP2,HTATIP2,FADD,BIRC2,BIRC3,APAF1,CRADD,API5,HRK,FAIM2,AATF,BIRC8,BRCA1,SPHK2,BAX,BIRC5,CBX4,CARD14,NME6,CASP8,CASP10,CFLAR,RTN4,BIRC6,BOK,CASP9,IL10,PEA15,MCL1,BCL10,DEDD,HDAC1,DFFA,DFFB,TNFRSF25	-2.5948023206E0	3.42031E-18	1.88687E-16
GO:0051128	8	464	5	119	4.03	3	102	2.86	MYH9,CENPE,KIF3A,MYO1F,MYH10	SPP1,BRCA1,RTN4	356674.94394E-6	7.29457E-1	7.81392E-1
GO:0051301	9	287	6	118	4.84	3	102	2.86	MYH9,KIF23,CENPE,KIF11,KIFC1,MYH10	AATF,BRCA1,BIRC5	547435.36938E-6	5.13022E-1	5.79557E-1
GO:0051603	10	652	3	121	2.42	7	98	6.67	MYH9,MYO5A,DNAH12	MALT1,TNFAIP3,BRCA1,CBX4,CASP8,BIRC6,IL10	-1.0581209273E0	1.92643E-1	2.51043E-1
GO:0051649	38	1232	24	100	19.35	14	91	13.33	MYH9,KIF3B,MYH6,MYH7,KIF13B,MYO5A,MYO1E,KIF4A,CENPE,KIF5B,MYO6,MYO7A,KIF1C,MYH4,MYH2,APPBP2,MYO9B,MYO1F,MYO1C,MYH10,MYH3,OPA1,DNAH7,KIF1B	MALT1,BCL2,CIDEA,BID,BCL2L1,BNIP3,IL2,BAK1,CASP1,HTATIP2,BRCA1,BAX,BIRC5,IL10	444685.82126E-6	2.85045E-1	3.54699E-1
GO:0008088	5	16	4	120	3.23	1	104	0.95	KIF3B,KIF4A,OPA1,KIF1B	BRCA1	1.2431935175E0	3.78208E-1	4.50313E-1
GO:0006936	13	208	12	112	9.68	1	104	0.95	MYH7B,MYH6,MYH7,MYH11,ACTA2,MYH13,MYH8,MYH4,MYH1,MYH2,MYH3,ACTA1	BRCA1	2.4107986776E0	3.82019E-3	1.43691E-2
GO:0006941	11	70	10	114	8.06	1	104	0.95	MYH7B,MYH6,MYH7,MYH11,MYH13,MYH8,MYH4,MYH1,MYH2,MYH3	BRCA1	2.2107775437E0	1.27056E-2	3.23835E-2
GO:0016192	17	637	15	109	12.1	2	103	1.9	MYH7B,MYO5A,DNM1,KIF3A,MYH11,ACTR1A,KIF20A,MYO6,DNM2,KIF1C,MYH13,MYH8,MYO1F,MYH10,KIF17	BNIP1,BRCA1	1.9582841265E0	4.12825E-3	1.53534E-2
GO:0006139	33	4615	11	113	8.87	22	83	20.95	MYH6,MYH7,MYO5A,CENPE,MYH11,KIF22,MYO6,DNM2,MYO9B,OPA1,DNAH14	MALT1,CIDEA,BIRC7,RIPK2,BNIP3,IL2,HDAC3,NOL3,CARD11,HTATIP2,APAF1,AATF,BRCA1,BAX,CBX4,NME6,IL10,BCL10,DEDD,HDAC1,DFFA,DFFB	-1.0016943915E0	1.33537E-2	3.29856E-2
GO:0006163	5	325	3	121	2.42	2	103	1.9	MYH6,MYH7,MYO9B	BRCA1,NME6	244403.55074E-6	1E0	1E0
GO:0006807	36	5032	12	112	9.68	24	81	22.86	MYH6,MYH7,MYO5A,MYO1E,CENPE,MYH11,KIF22,MYO6,DNM2,MYO9B,OPA1,DNAH14	MALT1,BCL2,CIDEA,BIRC7,RIPK2,BNIP3,IL2,HDAC3,NOL3,CARD11,HTATIP2,APAF1,AATF,BRCA1,SPHK2,BAX,CBX4,NME6,IL10,BCL10,DEDD,HDAC1,DFFA,DFFB	-1.0171968972E0	1.00249E-2	2.6546E-2
GO:0008015	5	247	3	121	2.42	2	103	1.9	MYH6,MYH7,ACTA2	IL2,BRCA1	244403.55074E-6	1E0	1E0
